dataset,method,seed,stage,metric,value
iapr,UIH,6513,1,i2t_map,0.23017576656297778
iapr,UIH,6513,1,i2t_old,nan
iapr,UIH,6513,1,t2i_map,0.227727245971321
iapr,UIH,6513,1,t2i_old,nan
iapr,UIH,6513,2,i2t_map,0.22884534983698512
iapr,UIH,6513,2,i2t_old,0.2308647501313324
iapr,UIH,6513,2,t2i_map,0.2286598386156569
iapr,UIH,6513,2,t2i_old,0.22495015245369637
iapr,UIH,6513,3,i2t_map,0.22978148382634525
iapr,UIH,6513,3,i2t_old,0.2283395611766899
iapr,UIH,6513,3,t2i_map,0.2304831069952728
iapr,UIH,6513,3,t2i_old,0.2299978919204822
iapr,UIH,6513,4,i2t_map,0.23044356482562
iapr,UIH,6513,4,i2t_old,0.22963530010254135
iapr,UIH,6513,4,t2i_map,0.23305923972185547
iapr,UIH,6513,4,t2i_old,0.23308523793047892
iapr,UIH,6513,5,i2t_map,0.22913124887300793
iapr,UIH,6513,5,i2t_old,0.2301024106542307
iapr,UIH,6513,5,t2i_map,0.23025103281270867
iapr,UIH,6513,5,t2i_old,0.23132028433087506
iapr,UIH,6513,6,i2t_map,0.22746711449791107
iapr,UIH,6513,6,i2t_old,0.22937139672090673
iapr,UIH,6513,6,t2i_map,0.22780737145129495
iapr,UIH,6513,6,t2i_old,0.22811387687632811
iapr,UIH,6513,7,i2t_map,0.22736137794879294
iapr,UIH,6513,7,i2t_old,0.22760425972603066
iapr,UIH,6513,7,t2i_map,0.22845316553533435
iapr,UIH,6513,7,t2i_old,0.22788518898221385
iapr,UIH,6513,8,i2t_map,0.22745964385365766
iapr,UIH,6513,8,i2t_old,0.2272546921693706
iapr,UIH,6513,8,t2i_map,0.2284635844843068
iapr,UIH,6513,8,t2i_old,0.22860367362835585
iapr,UIH,6513,9,i2t_map,0.22787467716075985
iapr,UIH,6513,9,i2t_old,0.22798347268042993
iapr,UIH,6513,9,t2i_map,0.22800858558072878
iapr,UIH,6513,9,t2i_old,0.2278029565575792
iapr,UIH,6513,10,i2t_map,0.2268941053604593
iapr,UIH,6513,10,i2t_old,0.22700510734950333
iapr,UIH,6513,10,t2i_map,0.227782815991914
iapr,UIH,6513,10,t2i_old,0.2280343012042512
iapr,UIH,9231,1,i2t_map,0.22997814712254896
iapr,UIH,9231,1,i2t_old,nan
iapr,UIH,9231,1,t2i_map,0.22780362313387748
iapr,UIH,9231,1,t2i_old,nan
iapr,UIH,9231,2,i2t_map,0.22877535662582288
iapr,UIH,9231,2,i2t_old,0.23088993500430896
iapr,UIH,9231,2,t2i_map,0.22861505920354466
iapr,UIH,9231,2,t2i_old,0.22506655820061996
iapr,UIH,9231,3,i2t_map,0.2296516377627826
iapr,UIH,9231,3,i2t_old,0.22869113762645957
iapr,UIH,9231,3,t2i_map,0.23060318256037063
iapr,UIH,9231,3,t2i_old,0.23001957114951074
iapr,UIH,9231,4,i2t_map,0.230652345206106
iapr,UIH,9231,4,i2t_old,0.22988546245310096
iapr,UIH,9231,4,t2i_map,0.23353533515573888
iapr,UIH,9231,4,t2i_old,0.23352192395395116
iapr,UIH,9231,5,i2t_map,0.22921664199543315
iapr,UIH,9231,5,i2t_old,0.23035376799553317
iapr,UIH,9231,5,t2i_map,0.23017650285096689
iapr,UIH,9231,5,t2i_old,0.23129925977854307
iapr,UIH,9231,6,i2t_map,0.22758161022594028
iapr,UIH,9231,6,i2t_old,0.22949126122290758
iapr,UIH,9231,6,t2i_map,0.22818542899553565
iapr,UIH,9231,6,t2i_old,0.22852952375709668
iapr,UIH,9231,7,i2t_map,0.22749716317482582
iapr,UIH,9231,7,i2t_old,0.22767867628966737
iapr,UIH,9231,7,t2i_map,0.2284597536269703
iapr,UIH,9231,7,t2i_old,0.22783701990120586
iapr,UIH,9231,8,i2t_map,0.2277882995851361
iapr,UIH,9231,8,i2t_old,0.22758402350842585
iapr,UIH,9231,8,t2i_map,0.22836518288539456
iapr,UIH,9231,8,t2i_old,0.228537459188419
iapr,UIH,9231,9,i2t_map,0.2279529173530025
iapr,UIH,9231,9,i2t_old,0.22808411031680045
iapr,UIH,9231,9,t2i_map,0.22803434148627813
iapr,UIH,9231,9,t2i_old,0.22785505475243245
iapr,UIH,9231,10,i2t_map,0.22693551812667606
iapr,UIH,9231,10,i2t_old,0.22707114872949838
iapr,UIH,9231,10,t2i_map,0.22774382898711681
iapr,UIH,9231,10,t2i_old,0.2279584286712835
mscoco,Full,2096,1,i2t_map,0.49324360884009677
mscoco,Full,2096,1,i2t_old,nan
mscoco,Full,2096,1,t2i_map,0.5149760330026898
mscoco,Full,2096,1,t2i_old,nan
mscoco,Full,2096,2,i2t_map,0.5253636511947961
mscoco,Full,2096,2,i2t_old,0.5003750341622697
mscoco,Full,2096,2,t2i_map,0.5452196836479916
mscoco,Full,2096,2,t2i_old,0.5167333377077769
mscoco,Full,2096,3,i2t_map,0.5427853352142488
mscoco,Full,2096,3,i2t_old,0.5290327007622785
mscoco,Full,2096,3,t2i_map,0.5571132409878686
mscoco,Full,2096,3,t2i_old,0.5437574933989289
mscoco,Full,2096,4,i2t_map,0.547829916881691
mscoco,Full,2096,4,i2t_old,0.5387900565561029
mscoco,Full,2096,4,t2i_map,0.5600123875681537
mscoco,Full,2096,4,t2i_old,0.5491794229532319
mscoco,Full,2096,5,i2t_map,0.5516151630004064
mscoco,Full,2096,5,i2t_old,0.5458374439369157
mscoco,Full,2096,5,t2i_map,0.5688244012181998
mscoco,Full,2096,5,t2i_old,0.559516543527507
mscoco,Full,2096,6,i2t_map,0.5604004146996091
mscoco,Full,2096,6,i2t_old,0.55382205654351
mscoco,Full,2096,6,t2i_map,0.5782948910577127
mscoco,Full,2096,6,t2i_old,0.5716419834165689
mscoco,Full,2096,7,i2t_map,0.5622175558583696
mscoco,Full,2096,7,i2t_old,0.5593907517237837
mscoco,Full,2096,7,t2i_map,0.581246601972741
mscoco,Full,2096,7,t2i_old,0.5753530969316483
mscoco,Full,2096,8,i2t_map,0.5669441014528372
mscoco,Full,2096,8,i2t_old,0.5623711453411715
