family,track,dataset,method,condition,representation,bit,seed,status,protocol_sha256,configuration_sha256,source_artifact_sha256,record_sha256,i2t_final_map,t2i_final_map,final_map,stage_map,old_gallery_map,train_time_s
full,strict-unpaired-online,nuswide81,BC-GTSH,full,CLIP,16,2096,completed,71da6121f745cd9b47c82391addd2e3e0dd2ce6213ff22c768d2a7db3d05162a,51d2a834cf9fceea3cb3a5569034ea6c25d0cbd8e5adeeac7d61738b67c32bac,895aefdbe45f79481131f43854bc6f1745bd73b9c26aa03f3627b71a1ca5db8e,bbef41e553bc761bd0f30ace2fa3d78266f235c17d1042a037a4405a11392836,0.3505445497610649,0.3367504259637383,0.3436474878624016,0.33404816238948376,0.33290914742137606,277.25642179884017
full,strict-unpaired-online,nuswide81,BC-GTSH,full,CLIP,16,6513,completed,71da6121f745cd9b47c82391addd2e3e0dd2ce6213ff22c768d2a7db3d05162a,ea99a58baf4d34096458f5e31b4b2967ab4fcbdba4e1e1273fb2178cf91442a0,8bbf24fd9f34fb9ff28defe19f589d58cb71938fad4630bfce9780dfb30c3114,7d3d1eef41b2f4d356aadac1443ef5c9f321f1f2eff1c9826be4ee718f3e1bd0,0.3484446768355312,0.33668416664934664,0.34256442174243895,0.3375440289256427,0.33629347849202135,277.0066286996007
full,strict-unpaired-online,nuswide81,BC-GTSH,full,CLIP,16,9231,completed,71da6121f745cd9b47c82391addd2e3e0dd2ce6213ff22c768d2a7db3d05162a,da37ebe8ea1912f4efee523c667bebaf88157593d245a9422f99f96b574ecd4c,b0f795c1896188736820cb6fc64b1737aedb3c511b3dc73ac71aa242fed4c1d6,514c56fe7ec5943cd2a2de1862a4584fb5876b2213df76ea6988e988fd05d956,0.35461191200950865,0.3361025062813158,0.34535720914541224,0.33557823925835495,0.33457317321192137,274.55218110140413
full,strict-unpaired-online,nuswide81,BC-GTSH,full,CLIP,32,2096,completed,71da6121f745cd9b47c82391addd2e3e0dd2ce6213ff22c768d2a7db3d05162a,06a6aeacc30261750030d2a2bb48c49c92c59c151820d8fd080a942e81b0375b,af69738ef10c0204fbb544c9dd5ffb04204d460a8f363aaf1e92930a3bb735ea,fbfb3911f0490de85655d76ad4a1cb228b4a3a5a9af88ade27ce17a06c54abfb,0.36627269902289794,0.35083657753952463,0.35855463828121126,0.3483441778729641,0.347507387601299,270.03609009925276
full,strict-unpaired-online,nuswide81,BC-GTSH,full,CLIP,32,6513,completed,71da6121f745cd9b47c82391addd2e3e0dd2ce6213ff22c768d2a7db3d05162a,654473c9558b88389ca11a0b6216da8df410e190d5d3ca364a50a4b3df788273,4acec3769cd2ac8dd60cc881a5ac8b4243135a4fdb46da60fffa3c4c231e6639,c38834fcaab3eb41576b8a6a354ece0cc051a18e4487309fab9310a12c947cf8,0.37209717546658927,0.35008668974112306,0.3610919326038562,0.3523227957375511,0.3515830373661001,270.57626940123737
full,strict-unpaired-online,nuswide81,BC-GTSH,full,CLIP,32,9231,completed,71da6121f745cd9b47c82391addd2e3e0dd2ce6213ff22c768d2a7db3d05162a,6e568150d184fb29423bf17d8aaf586e683e68443c485e580820bd3d8a49fef3,30da8f13851ed05d93a2f790075e90c17613709eae0b573d675e9a1f2713048b,45a163f6bff31705247b8438ffd830daba84ea31ce3fa8517d57dc5935686e8f,0.37909412143809096,0.36574328219665414,0.3724187018173726,0.3566718614140829,0.35552183451380387,277.51132390089333
full,strict-unpaired-online,nuswide81,BC-GTSH,full,CLIP,64,2096,completed,71da6121f745cd9b47c82391addd2e3e0dd2ce6213ff22c768d2a7db3d05162a,99da8f4ce9e8aac2a0573406a80254104d311411fedc58429b83590a3571bc5c,99339bfcf07781eabe6f90035b0f079f4b1d7b2d3056ef564a694afc167955f9,3af9100a83356ad53f19cecbe6acc119c39d626ee18994e0366b0538835bd249,0.3814261760036745,0.36550434735235493,0.37346526167801475,0.3607963455348542,0.3603674705346457,276.43827169854194
full,strict-unpaired-online,nuswide81,BC-GTSH,full,CLIP,64,6513,completed,71da6121f745cd9b47c82391addd2e3e0dd2ce6213ff22c768d2a7db3d05162a,c057044e65b941e2b076875593fb2bf22eb3afc53097cc9930f5d33a64e6887c,19383274938cd6634a34f903e962e3ccd082246cf24c31158dc21b934d9284fe,2d9fa18da0c1ad689764814290b939fa4e3a1987255cd860017daf74b650b60e,0.3791949221396125,0.3627322275698757,0.37096357485474407,0.36048985303550674,0.35994201568295714,275.78531869966537
full,strict-unpaired-online,nuswide81,BC-GTSH,full,CLIP,64,9231,completed,71da6121f745cd9b47c82391addd2e3e0dd2ce6213ff22c768d2a7db3d05162a,03c3fdad56bd161c3874dd7830fb45bf85e4bfe18d2b4dada3b03c16c46eb6cd,1a8b7ec35deee718f7de2c58b43471056271ad427501d583c2bdabd379ce697d,3eebcd7bc2a42510ba5bc66bbf025d8ba1c2d0a4e5a4c6b8f591ddb1ab3aca8d,0.377994635458177,0.36713278445964603,0.3725637099589115,0.359290539941039,0.3588975885542828,281.6646692994982
full,strict-unpaired-online,nuswide81,BC-GTSH,full,CLIP,128,2096,completed,71da6121f745cd9b47c82391addd2e3e0dd2ce6213ff22c768d2a7db3d05162a,24fc5c2b45c6c366be6be4595476a1cfe3801093c3258883a080a95a15852138,6fde6431da1d66841564c72d4ce28baf2f2139c999c38f9b795818ca8e734d3c,644f7842e99e471c9a72febafd571e0172c177b7b94e30e60c11fe9796270a85,0.38098580929969855,0.3672907392743547,0.3741382742870266,0.3594646629924827,0.3589228351987188,286.8056306997314
